City,Place ID,Clinic Name,Author,Rating,Text,Time,Relative Time,DGUID,CTUID
Mississauga,ChIJgb1mccFHK4gR_6BEh0rlLJ0,Proremedy Physiotherapy,Mary Zdolec,5,"I had an amazing experience at Proremedy Physiotherapy Mississauga. Dr. Nohzan was incredibly attentive, took the time to really listen to my concerns, and made me feel comfortable throughout the entire appointment. He was not only professional but also very friendly, which made a big difference. Highly recommend!",1756858493,3 weeks ago,2021S05075350527.13,5350527.13
Mississauga,ChIJgb1mccFHK4gR_6BEh0rlLJ0,Proremedy Physiotherapy,Tina Wang,5,"The clinic is clean, the staff is welcoming, and Dr Nozhan is extremely knowledgeable and thorough. I came in with very bad shoulder pain, and after a few sessions, I felt a noticeable improvement till to fully recovered. Now I came into him for other issues. Highly recommend for everyone seeking long term relief and expert care.",1754229550,a month ago,2021S05075350527.13,5350527.13
Mississauga,ChIJgb1mccFHK4gR_6BEh0rlLJ0,Proremedy Physiotherapy,Tina Tit,5,"Dr pavaan has been and always will be one of the most professional and lively practitioners and the outstanding service and ability to custom tailor a routine or plan based on an elaborative assessment process has always allowed me to recieve a custom tailored approach in my treatment allowing me optimal results and relief from muscle tightness and injuries I’ve had throughout the years of being treated by her without fail. Most recently she was able to relief my injury that had my neck stuck in agonizing sharp shooting pain within the same day and I couldn’t be more grateful, the atmosphere is clean and professional and the receptionist and staff are forever warm and welcoming I wouldn’t get treated anywhere else in the GTA",1753743008,2 months ago,2021S05075350527.13,5350527.13
Mississauga,ChIJgb1mccFHK4gR_6BEh0rlLJ0,Proremedy Physiotherapy,Pooja Sharma,5,"My Physiotherapist and Chiropractor are amazing and life changing. I have been going to Proremedy physiotherapy for the last few weeks due to my muscle problems . They both made my daily living and tasks much more manageable. I know with being consistent with the exercises she has taught me, my mobility and issues will greatly improve. Thank you so much, Arpan and Pavan ! I also want to thank and show appreciation for the front desk. Everyone has been so professional, respectful and personable."" Moreover this place is very beautiful relaxing and peaceful .last but not least the best thing is huge free parking space available outside. I will definitely recommend Proremedy Physiotherapy to everyone..",1699037336,a year ago,2021S05075350527.13,5350527.13
Mississauga,ChIJgb1mccFHK4gR_6BEh0rlLJ0,Proremedy Physiotherapy,Priyadarshani Fadnis,5,"I had developed neck pain and was unable to perform my daily chores properly.
At Proremedy Therapy I got excellent advice and support from Mitalee Dalvi.
Mitalee is experienced , very professional and friendly. She was quick to diagnosed the problem with my neck and gave me proper treatment.
I have gone through just a couple of sessions and now feeling much better than before.
I used my employer provided insurance paid upfront, the proremedy staff took care of sending the receipts to the insurance provider.
We got the reimbursement from the insurance in couple of days.
The staff at the reception is friendly and helpful.
I would definitely like to recommend Proremedy and their Therapist Mitalee Dalvi.",1698514874,a year ago,2021S05075350527.13,5350527.13
Mississauga,ChIJkZx3yb1DK4gRU2szteXkKgc,Smart Physiotherapy Clinic,Cheyenne Wells,5,"Went for my very first massage with my husband last week. We had a great experience! I had Beverly who was so sweet and really made me relax, and my back felt amazing after! Also, the girl at the front desk went above and beyond and she had our daughter sit with her and colour while we got a massage. Highly recommend! I even bought gift cards for my family!",1540316541,6 years ago,2021S05075350518.00,5350518.00
Mississauga,ChIJkZx3yb1DK4gRU2szteXkKgc,Smart Physiotherapy Clinic,Asif Mahmood,1,"Awful experience in all respects. I booked for physio via phone for 2pm today. When I reached around 2pm, door was locked. I saw a lady sitting inside, so I knocked at the door, she opened the door and said “we are already closed for the day as there is no person to provide the service – although normally we close at 5pm”. I insisted that I will wait as there are still few minutes left in 2pm. She said there is no one to provide the service, all staff is busy and she has been fired from the job as she demanded for her salary, and owner instead of paying, fired her. Meanwhile, another lady came from inside; I asked her about my appointment and she said if I can come after 45 minutes. I came back after 45 minutes, and she asked me to pay 45 CD - that is what I was told over the phone. Massage room was dark and sheets were smelling; however on my request one sheet was changed. Massage was fine. After massage I came to the reception and asked for receipt of money paid. Receptionist informed that she charged me for the cash rate and if I need a receipt I will need to pay 94 CD – that is the rate for the insurance customers. I was surprised how come they refuse to give receipt. Anyway, not a good experience overall. City and provincial health authorities need to inspect these places regularly to maintain appropriate hygienic conditions.",1577832643,5 years ago,2021S05075350518.00,5350518.00
Mississauga,ChIJkZx3yb1DK4gRU2szteXkKgc,Smart Physiotherapy Clinic,Jaki cute,5,"I got an amazing deep tissue massage ...  I forgot the name of massage therapist. but they have excellent new staff there.   they made me feel 100% at ease. I left totally relaxed after this very soothing experience. The place is very clean, comfy and friendly. You are in good hands, literally! :-)",1531579098,7 years ago,2021S05075350518.00,5350518.00
Mississauga,ChIJkZx3yb1DK4gRU2szteXkKgc,Smart Physiotherapy Clinic,Newmar Orders,1,"Yelp has my full review but here's the gist:

DO NOT COME HERE

The masseuses here are all terrible and non-verbal about solving your pain. The only good masseuse is Emilia, who my mom had as a masseuse and she was so professional, knowledgeable and really helped with the back pain.  I've had 5 massages here otherwise and all of them have been mediocre, with the exception of Dipti (perhaps the spelling is off) who is THE WORST. She must be related to the owner because otherwise I cannot see her being a trained massage therapist. So painful in places and then no pressure at all in the places that actually matter! And she will drown your body in oil so unnecessarily.

Reception is rude and unhelpful. They were 25 mins late for my massage that I had an appointment for. They lied and said there wasn't a double massage room which wasn't true, and then tried to make me and my mother go in at separate times without telling us that was the case. Iv'e called here multiple times and they must forget the name of their business 80% of the time because they answer with Hello?

Management is awful in so many ways. To their customers and to the employees.

Emilia is way too good for this place! Even though she's so great I will never be back to give these people my money.

I thought the owner must be more involved in running a better business because they respond to their reviews (besides yelp) but check out the below reviews for an example of management problems, every 5 star review gets a 1 hour free massage and people who shared a bad experience get 30 minutes. Seems pretty backwards to me!",1534451584,7 years ago,2021S05075350518.00,5350518.00
Mississauga,ChIJkZx3yb1DK4gRU2szteXkKgc,Smart Physiotherapy Clinic,Amish K,4,"The only reason I am giving 4 star is because of one of the best Masseuse I got. She asked me about pressure and areas to be worked on and was effective.
Even though I would love to go again but will give it a second thought because the massage bed did not look very clean and I was able to hear dryer which was making too much noise. Also originally I wanted to book groupon for Turkish Hammam and they said it is going to be at this location.",1566621390,6 years ago,2021S05075350518.00,5350518.00
Mississauga,ChIJZ49FH3Q4K4gRMECgKM4_lYE,Maxwell Physiotherapy and Rehab Clinic,Dinuka Jayaweera,5,"When it comes to physiotherapy, therapist hands and attitude will be the deal breaker.

I am proud to say Mr. Vidur and his therapeutic staff born with ""Goad's hands.""  The clinic is neat and clean, always provide fresh bed linen, ample free parking,  friendly and well trained staff dedicated to cut down waiting time.

They accepting walkings, appointments rescheduling without hesitation.

We tested several clinics in town for our seven-year-old daughter's chiropractic therapy, and Maxwell Physiotherapy is the only place my little girl willing to go without forcing to go. I am happy to say we are thrilled with promising results and now my wife and I are regular customers of the Maxwell Clinic.",1528761385,7 years ago,2021S05075350526.02,5350526.02
Mississauga,ChIJZ49FH3Q4K4gRMECgKM4_lYE,Maxwell Physiotherapy and Rehab Clinic,Mukta Tandon,5,"I recently visited Maxwell Physiotherapy and Rehab clinic , and my experience was awesome. From the moment I stepped in, I felt welcomed and cared for. The therapist is highly skilled and knowledgeable. They tailor treatment plans to your specific needs, whether you’re recovering from an injury, managing chronic pain, or seeking preventive care. Moreover  the staff is really nice and polite.",1719010464,a year ago,2021S05075350526.02,5350526.02
Mississauga,ChIJZ49FH3Q4K4gRMECgKM4_lYE,Maxwell Physiotherapy and Rehab Clinic,Shyne Aesthetics,5,"This is my favourite place to come for Physiotherapy and Massage. Both the physiotherapist and massage therapist are very professional, kind and knowledgeable. They have great recommendations, very warm people and you can tell they truly care about your well being.",1723058363,a year ago,2021S05075350526.02,5350526.02
Mississauga,ChIJZ49FH3Q4K4gRMECgKM4_lYE,Maxwell Physiotherapy and Rehab Clinic,Kartikeya Dhingra,5,"This clinic is exceptional! The staff is welcoming, the therapists are highly skilled, and their personalized approach to treatment is very impressive. I came here for my grandmother’s joint issues and her mobility and pain have significantly improved. I highly recommend them.",1696024747,a year ago,2021S05075350526.02,5350526.02
Mississauga,ChIJZ49FH3Q4K4gRMECgKM4_lYE,Maxwell Physiotherapy and Rehab Clinic,Mahazareen Dubash,5,"This is the third place I have tried for physiotherapy, and I must say this is the best place. I wish this was the first place I had tried! The staff is very friendly and know what needs to be done. They don't skimp on time and give the patient all their attention. They also take the time to do mobilization, which the other two physiotherapists I had visited didn't. They are open at convenient times too, so if you are working 9 to 5, you can still go for therapy after work and/or on weekends. I highly recommend this clinic.",1702224554,a year ago,2021S05075350526.02,5350526.02
Mississauga,ChIJgwfItqVHK4gR-tQ0bTBGnkY,Art of Mobility Physiotherapy Mississauga - Port Credit,Abrar Durrani,5,"This place is great! The staff members are friendly and very well-trained.

Tharaniya, my physiotherapist, is awesome. After a thorough assessment, she got me started right away with treatment. I felt a big difference after just a couple of sessions with her and her team. Thank you very much!

“I knew I was in good hands when I was told I needed to have an ACL surgery on my left knee, and I was right! Tharaniya did an amazing job, and here I am, 3 months later, almost close to having my knee back to normal. They are very personable, have great bedside manners, and I especially need to thank Tharaniya, They have an amazing staff to support you with any queries with regards to insurance and they were upfront regarding out of pocket costs. Overall, I am a satisfied patient, and I would wholeheartedly recommend this facility to all my friends!”",1746293964,4 months ago,2021S05075350540.02,5350540.02
Mississauga,ChIJgwfItqVHK4gR-tQ0bTBGnkY,Art of Mobility Physiotherapy Mississauga - Port Credit,chris ball,5,"Been coming here for a couple years now. Various issues, mostly self inflicted from work. Thusheinth (Tish) and Justin are always knowledgeable and extremely helpful and effective. both are awesome physiotherapists and coaches. I came in feeling like my spine was being pulled into two pieces. They explained to me it was upper back stiffness and hip mobility that are the issues. 3 or 4 sessions and some home work they sent me with and I feel great. Definetely on the mend and back in the gym lifting heavy.  Thanks so much guys. My running joke is that I break myself and they put me back together. That is very much true. See you guys soon. Thanks again.

Cant forget to mention Christian. Wicked athletic therapist, explained my issue to me  when I asked because I like learning how stiffness happens and how the body compensates and affects somewhere else.  Really helpful guys and thank you for keeping me moving.",1758391755,a week ago,2021S05075350540.02,5350540.02
Mississauga,ChIJgwfItqVHK4gR-tQ0bTBGnkY,Art of Mobility Physiotherapy Mississauga - Port Credit,Shanthy Srinivasan,5,"I had a great experience at this clinic!

My physiotherapist, Tharaniya was incredibly knowledgeable and supportive. She took the time to understand my pain and provided effective treatment along with personalized stretches that made a huge difference. I noticed improvement after just a few sessions and really appreciated the clear explanations and guidance throughout. Highly recommend this clinic to anyone looking for genuine, effective care!",1753133227,2 months ago,2021S05075350540.02,5350540.02
Mississauga,ChIJgwfItqVHK4gR-tQ0bTBGnkY,Art of Mobility Physiotherapy Mississauga - Port Credit,Katherine F,5,"I had the pleasure to be seen by the wonderful staff at the Port Credit Location.  Specifically, I was treated by Justin Mah, who is an excellent clinician with a calming bedside manner.  He shared his empathetic understanding to my issue (knee bursitis) which put me on the side lines for awhile from running.  He gave very clear and effective exercise strategies to address my underlying issue.  Being a runner himself, I felt very comfortable discussing my issue and viable solutions.  Thank you so much Justin! It was a real pleasure and honour :)",1754159998,a month ago,2021S05075350540.02,5350540.02
Mississauga,ChIJgwfItqVHK4gR-tQ0bTBGnkY,Art of Mobility Physiotherapy Mississauga - Port Credit,Naajia B,5,"Ive had an amazing experience with Tharaniya, she has helped me with my TMJ, shoulder pain and back pain. The pain Ive dealt with for years has recovered almost entirely in just a few weeks. I would recommend this place to anyone dealing with any kind of pain or injury. Their customer service is also phenomenal, their staff is very knowledgeable and personable, overall great experience!",1758327699,a week ago,2021S05075350540.02,5350540.02
Mississauga,ChIJkWijCk5BK4gRxXrwdT8KvWo,Myo Mississauga,Samantha Ferreira,5,"I’ve been seeing physiotherapist Nidhi at Myo Clinic for hip pain, and she’s been absolutely incredible. Her approach is holistic, and genuinely patient focused. She took the time to understand my symptoms, explained everything clearly, and came up with a treatment plan that is actually working. I leave every session feeling stronger and more confident in my mobility.

I’m so happy I found her and definitely would recommend!",1758587936,in the last week,2021S05075350528.18,5350528.18
Mississauga,ChIJkWijCk5BK4gRxXrwdT8KvWo,Myo Mississauga,Fouad Saradar,5,"I had a great session with Lorran. She was very professional, listened carefully to my concerns, and gave me a good assessment. She really knew what she was doing and shared helpful advice.
She made me feel comfortable the whole time, and I got real relief from my neck and shoulder pain in just one session.
Highly recommend!",1758253678,a week ago,2021S05075350528.18,5350528.18
Mississauga,ChIJkWijCk5BK4gRxXrwdT8KvWo,Myo Mississauga,Marianne Georgy,5,"I had an excellent experience with my physiotherapist Priya. She was very patient, knowledgeable, and professional. She knew I had to learn to walk and balance myself again. She helped me build up my strength one day at a time. I would recommend her over and over again.",1757549651,2 weeks ago,2021S05075350528.18,5350528.18
Mississauga,ChIJkWijCk5BK4gRxXrwdT8KvWo,Myo Mississauga,Modups Gold,5,"My experience with Myo Mississauga has been great. The appointment process is so smooth and the staff are professional.

Dr. Nicolas has been fantastic.  I came in here for an acute lower back pain due to sciatica and I honestly felt so much better just after the initial treatment... it was like magic. I have now made this location my choice to address other issues I had been experiencing and had prior to this time not been successful in addressing with other clinics.

I highly recommend Myo Mississauga and I also just wanted to thank Dr. Nicolas for his expertise, knowledge, professionalism and interpersonal skills.",1756859548,3 weeks ago,2021S05075350528.18,5350528.18
Mississauga,ChIJkWijCk5BK4gRxXrwdT8KvWo,Myo Mississauga,Tanya Quinto,5,It was my first time doing a run assessment and I think it was worth it. Austin was able to find out and explain clearly the cause of my hip and knee pain. I like how he is knowledgeable and concise. The place is clean and the staff are accommodating and polite.,1758818179,in the last week,2021S05075350528.18,5350528.18
Mississauga,ChIJRU34DuVDK4gRwyihY_Jbelo,Activemotion Rehab Inc,riarose i,5,"Finding this clinic was a revelation! As a complete massage newbie, I was a little nervous, but from the moment I walked in, I felt completely at ease. The space is stunning – serene, spotlessly clean, and smelling amazing.

My massage therapist was a true expert, tailoring the pressure perfectly to melt away the tension I’d been carrying for weeks. I reached a state of blissful relaxation so deep that I actually drifted off to sleep! Waking up felt like a total reset.

The magic didn’t stop there! The acupuncturist was an absolute gem, radiating such positive energy and genuine enthusiasm for my wellness goals. It’s clear this team doesn't just provide services; they are passionate about delivering real, lasting results.

If you’ve been on the fence about booking a treatment, let this be your sign. This clinic is a sanctuary for anyone looking to invest in their well-being. I left feeling like a new person and I’m already counting down the days until my next visit. A five-star experience in every way!",1755887598,a month ago,2021S05075350516.09,5350516.09
Mississauga,ChIJRU34DuVDK4gRwyihY_Jbelo,Activemotion Rehab Inc,Ishita Bipilli,5,I’ve been to many clinics but this one makes you truly feel welcome and provides wonderful services. It’s very professional and surreal. The staff are kind and welcoming. Will be definitely coming back. Thank you,1755286521,a month ago,2021S05075350516.09,5350516.09
Mississauga,ChIJRU34DuVDK4gRwyihY_Jbelo,Activemotion Rehab Inc,HARMAN,5,"Absolutely love this place! It’s tastefully renovated and has such a welcoming atmosphere. They offer a wide range of services. The team of providers is truly amazing—professional, friendly, and attentive. Highly recommend to anyone looking for quality care and a beautiful setting💫👍🏻",1752709528,2 months ago,2021S05075350516.09,5350516.09
Mississauga,ChIJRU34DuVDK4gRwyihY_Jbelo,Activemotion Rehab Inc,Sandip Patel,5,"I had my physiotherapy session and I’m very impressed with the care I received. The physiotherapist took the time to thoroughly assess my condition, explained everything in a clear way. The clinic is clean, well-organized, and welcoming. Highly recommended!",1758024396,a week ago,2021S05075350516.09,5350516.09
Mississauga,ChIJRU34DuVDK4gRwyihY_Jbelo,Activemotion Rehab Inc,sumera sahar,5,"*⭐⭐⭐⭐⭐ 5/5 – Excellent Rehab Experience*

I had a very positive experience with this rehab facility. The environment is professional, supportive, and truly focused on recovery and well-being. From the moment I arrived, I felt welcomed and cared for by a team that is both knowledgeable and compassionate.

The staff, including therapists, medical professionals, and support workers, were attentive and consistently went above and beyond to ensure that every individual received personalized care. The programs offered are well-structured and tailored to meet the specific needs of each client, whether for physical rehabilitation, mental health, or substance recovery.

The facility itself is clean, well-maintained, and equipped with everything needed for a comfortable and focused recovery. The atmosphere encourages healing, motivation, and growth.

Overall, I would highly recommend this rehab to anyone seeking a genuine and effective path toward recovery. It’s a place where progress is possible, and you're never treated like just a number — you’re treated like a person.",1757190701,3 weeks ago,2021S05075350516.09,5350516.09
Mississauga,ChIJKTl5UQ9BK4gRBPn-Ke49ivQ,MUV Therapy Physio & Sports Medicine,Sia Sen,5,"Exceptional Care at MUV Therapy - Thank You, Nadir!

MUV Therapy is truly outstanding, and Nadir deserves immense praise. After a back injury landed me in the ER, I was incredibly fortunate to find this clinic in Mississauga.
What sets MUV Therapy apart is their dedication to actually resolving the issue, not just offering temporary relief. You won't find time-consuming ice packs or machines here. Nadir swiftly pinpointed the root cause of my pain and began targeted, effective treatment immediately. I was back to feeling great in just two sessions! This speaks volumes about his expertise and the clinic's efficient approach.
Nadir is not only a highly skilled therapist but also deeply professional and empathetic. He genuinely cares about his patients' well-being, taking the time to understand your specific situation and craft a personalized plan that works. If you're in Mississauga and struggling with pain or an injury, I wholeheartedly recommend Nadir and the MUV Therapy team. They are truly dedicated to helping you regain your movement and quality of life.",1748372563,4 months ago,2021S05075350550.02,5350550.02
Mississauga,ChIJKTl5UQ9BK4gRBPn-Ke49ivQ,MUV Therapy Physio & Sports Medicine,Ernesto Guillermo,5,"Simply the best! I went for my first treatment for Tennis elbow. The moment you walk into the treatment center, the reception team makes you feel at home and at ease with their warm smiles and beverages. Then, the practitioners are second to none. These are teams of professionals trained under the McKenzie method, which is holistic, in layman's terms: You are unique and the center of the care and attention. I will highly recommend this Therapy center. My therapist today was Ty, and he is incredible. I feel much better after just one session and am better informed about how to improve my condition quickly.",1749582457,3 months ago,2021S05075350550.02,5350550.02
Mississauga,ChIJKTl5UQ9BK4gRBPn-Ke49ivQ,MUV Therapy Physio & Sports Medicine,Julie Simiana,5,"Nadir and the whole Muv therapy team are amazing! I can’t say enough positive words about this clinic! From the warm kind welcoming reception to the professionalism of the team. Nadir is extremely knowledgeable in the techniques he uses. He is patient and wants to see his clients get back to normal body movement without pain, and it shows. His methods are easy to learn and easy to do at home on your own!

I am 46 and have suffered from chronic back pain for almost 15 years. I was also was in a car accident a couple years ago, which affected my neck. I have seen different practitioners over the years and tried what I had thought was everything, until I was introduced to Nadir and his team! Within a few weeks of treatment I was noticing major improvement in my back, hip and neck pain. The work I have to do on my own for my recovery is extremely easy and doable. After noticing improvements I see how his techniques work and now if I don’t have the best posture or I start to feel some of my old pains coming back, I go right back into the stretches I was taught at Muv Therapy and I get the relief I need.

For the first time in years my body feels great and I never thought I would say this but my pain is mostly gone!

I can’t thank the Muv therapy team enough for helping me when I thought this was just going to be how life is with constant back and neck pain.

Thank you, thank you, thank you!

If you are looking for relief and you think you’ve tried everything. Give Muv Therapy a try before giving up hope. I don’t regret it for a second!

Skeptic no more!",1749337264,3 months ago,2021S05075350550.02,5350550.02
Mississauga,ChIJKTl5UQ9BK4gRBPn-Ke49ivQ,MUV Therapy Physio & Sports Medicine,Karis Dete,5,"Tania has done an amazing job on my ankles. I have been battling ankle pain for 5+ years and seen other physiotherapists but, this is where I truly saw a difference. There were little things I did in my day-to-day activities or when playing basketball at a high intensity level that I did not realize were affecting me. Tania broke down each movement that I may be doing, and provided me with strengthening exercises. I also had other minor issues within my hips and my knee that she helped me with, while focusing on my ankles. I am grateful for MUV therapy",1754345999,a month ago,2021S05075350550.02,5350550.02
Mississauga,ChIJKTl5UQ9BK4gRBPn-Ke49ivQ,MUV Therapy Physio & Sports Medicine,Dhruvi Patel,5,"My knee was being injured like 6-7 months ago. And continuous pain was going on. And my whole right leg started paining a lot, it was getting intolerable.. I tried everything, but from no where there was any solution.. Totally clueless, and with lot of pain.. Then one of frnd inform about MUV, Nadir.. And once I meet him, start my treatment., things are changing now.. I can feel less pain than before..

The most imp is: they just don’t focus and treat on one injury, they look out whole body and try to give diagnoses.. Which really helps..

So, it’s more worth than 5star.. Great experience. No words to express.. as I am less expressive.. And if today I express myself openly.. Definitely it’s something very much worthy… My pain was way beyond intolerable, was feeling like ghost.. And now it’s improving.. So Yes, highly Recommended MUV.. it’s best..

Also, the whole staff is very much polite, kind and treated very well..",1754617015,a month ago,2021S05075350550.02,5350550.02
Mississauga,ChIJxwHnyYFHK4gRcKQwDRpvvoI,NYK Cosmetic Clinic & Physiotherapy,Sarika Bhatia,5,"""I recently had an amazing experience with Pooja for my facial and beauty treatments. From the moment I walked in, I felt welcomed and relaxed. Pooja is incredibly knowledgeable about skin care and took the time to understand my specific needs. The facial was so rejuvenating, and I could immediately see a difference in my skin’s texture and glow. The products she used were high quality and suited my skin perfectly. I also appreciated her tips on maintaining my skin health at home. Overall, I highly recommend Pooja’s services for anyone looking to pamper themselves and achieve beautiful skin!""",1742856982,6 months ago,2021S05075350512.00,5350512.00
Mississauga,ChIJxwHnyYFHK4gRcKQwDRpvvoI,NYK Cosmetic Clinic & Physiotherapy,Feroz Md,1,"They don’t take appointments seriously, cancel appointments whenever they wants and calls you , once we call them back don’t answer.

Poor service",1758827175,in the last week,2021S05075350512.00,5350512.00
Mississauga,ChIJxwHnyYFHK4gRcKQwDRpvvoI,NYK Cosmetic Clinic & Physiotherapy,Charmaine Ortiz,5,"My mom and I went to do a facial at this location and I must say, we had a very pleasant and wonderful experience with Pooja. She was so genuine and very hard working. She did both mine and my mom’s facial and was so personable and professional in her work. She has good knowledge and the practical skills. I do hope she is recognized for her hard work and skills. Thank you pooja the wonderful experience. We will be back again soon! Thank you!",1736137503,8 months ago,2021S05075350512.00,5350512.00
Mississauga,ChIJxwHnyYFHK4gRcKQwDRpvvoI,NYK Cosmetic Clinic & Physiotherapy,Shweta Karki,5,"I’ve going to NYK since past 2 years and have recommended more than 10 people. My whole family goes to NYK for quality service. Sol gives the best Massage and makes sure that I am comfortable with everything. We drive 30 minutes away because of how well they treat everyone. Noshi, the owner has really maintained the property and is a very nice person. Highly recommend to everyone who suffers from back and shoulder pain.",1703811488,a year ago,2021S05075350512.00,5350512.00
